Kod;Nazwa;gminy bez miast na prawach powiat, stan na 31 grudnia,ogółem,2017;gminy bez miast na prawach powiatu, stan na 31 grudnia,2018; gminy bez miast na prawach powiatu, stan na 31 grudnia, 2019; gminy bez miast na prawach powiatu, stan na 31 grudnia 2020; gminy bez miast na prawach powiatu, stan na 31 grudnia 2021; gminy mężczyźni, stan na 31 grudnia 2017; gminy mężczyźni, stan na 31 grudnia 2018; gminy mężczyźni, stan na 31 grudnia 2019; gminy mężczyźni, stan na 31 grudnia 2020; gminy mężczyźni, stan na 31 grudnia 2021; gminy kobiety, stan na 31 grudnia 2017; gminy kobiety, stan na 31 grudnia 2018; gminy kobiety, stan na 31 grudnia 2019; gminy kobiety, stan na 31 grudnia 2020; gminy kobiety, stan na 31 grudnia 2021; miasta, stan na 31 grudnia,ogółem,2017; miasta ,miejsce zamieszkania,stan na 31 grudnia 2018,ogółem;miasta,stan na 31 grudnia 2019,ogółem; miasta, stan na 31 grudnia 2020,ogółem; miasta, stan na 31 grudnia 2021,ogółem; miasta, stan na 31 grudnia 2017,mężczyźni;miasta, stan na 31 grudnia 2018,mężczyźni; miasta, stan na 31 grudnia 2019 ,mężczyźni; miasta, stan na 31 grudnia 2020 ,mężczyźni; miasta, stan na 31 grudnia 2021, mężczyźni;miasta,stan na 31 grudnia 2017,kobiety;miasta, stan na 31 grudnia 2018,kobiety;miasta, stan na 31 grudnia 2019,kobiety;miasta, stan na 31 grudnia 2020,kobiety; miasta, stan na 31 grudnia 2021,kobiety
0000000;"POLSKA";25832456;25827776;25806074;25565275;25465719;12673891;12670970;12659911;12539669;12486415;13158565;13156806;13146163;13025606;12979304;12601102;12583372;12576502;12523289;12441985;5919284;5910916;5907141;5877493;5836502;6681818;6672456;6669361;6645796;6605483;
0200000;"DOLNOŚLĄSKIE";1969944;1968751;1967527;1957106;1949604;959215;958701;958098;951615;947592;1010729;1010050;1009429;1005491;1002012;932603;932474;932636;951272;948133;436192;436277;436537;446829;445482;496411;496197;496099;504443;502651;
0201000;"Powiat bolesławiecki";90173;90200;90103;88524;88275;43804;43798;43739;42966;42798;46369;46402;46364;45558;45477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201011;"Bolesławiec (1)";39084;38935;38872;37659;37522;18432;18342;18301;17610;17509;20652;20593;20571;20049;20013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201022;"Bolesławiec (2)";14391;14626;14699;14967;15119;7143;7253;7299;7473;7547;7248;7373;7400;7494;7572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201032;"Gromadka (2)";5345;5367;5337;5156;5094;2658;2666;2653;2559;2535;2687;2701;2684;2597;2559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201043;"Nowogrodziec (3)";15290;15258;15214;14852;14747;7572;7561;7526;7414;7352;7718;7697;7688;7438;7395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201044;"Nowogrodziec - miasto (4)";4244;4235;4207;4167;4120;2079;2079;2057;2054;2010;2165;2156;2150;2113;2110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201045;"Nowogrodziec - obszar wiejski (5)";11046;11023;11007;10685;10627;5493;5482;5469;5360;5342;5553;5541;5538;5325;5285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201052;"Osiecznica (2)";7398;7371;7349;7358;7329;3698;3695;3680;3703;3680;3700;3676;3669;3655;3649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0201062;"Warta Bolesławiecka (2)";8665;8643;8632;8532;8464;4301;4281;4280;4207;4175;4364;4362;4352;4325;4289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0202000;"Powiat dzierżoniowski";102077;101437;100813;97985;96884;48633;48355;48017;46501;45958;53444;53082;52796;51484;50926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0202011;"Bielawa (1)";30207;30055;29872;28973;28688;14116;14043;13948;13514;13381;16091;16012;15924;15459;15307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0202021;"Dzierżoniów (1)";33653;33344;33137;31997;31478;15784;15634;15489;14900;14638;17869;17710;17648;17097;16840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0202033;"Pieszyce (3)";9550;9492;9410;9107;9012;4625;4609;4567;4387;4346;4925;4883;4843;4720;4666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
