Nazwa,gminy 2017,gminy mężczyźni 2017,gminy kobiety 2017,miasta 2017,miasta mężczyźni 2017,miasta kobiety 2017,income,"ryż - za 1kg,2017 ","bułka pszenna - za 50g,2017 ","chleb pszenno-żytni - za 0,5kg,2017 ","mąka pszenna - za 1kg,2017 ","kasza jęczmienna - za 0,5kg,2017 ","mięso wołowe z kością (rostbef) - za 1kg,2017 ","mięso wołowe bez kości (z udźca) - za 1 kg,2017 ","mięso wieprzowe bez kości (schab środkowy) - za 1 kg,2017 ","mięso wieprzowe bez kości (schab) - za 1 kg,2017 ","kurczęta patroszone - za 1kg,2017 ","szynka wieprzowa gotowana - za 1kg,2017 ","kiełbasa suszona - za 1kg,2017 ",grudzień kiełbasa wędzona (2) - za 1kg cena 2017    ,grudzień filety z morszczuka mrożone - za 1kg cena 2017    ,grudzień karp świeży - za 1kg cena 2017    ,"grudzień mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l cena 2017    ","grudzień mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l cena 2017    ",grudzień ser twarogowy półtłusty - za 1kg cena 2017    ,grudzień ser dojrzewający - za 1kg cena 2017    ,grudzień śmietana o zawartości tłuszczu 18% - za 200 g cena 2017    ,grudzień jaja kurze świeże - za 1szt cena 2017    ,grudzień jaja kurze świeże (chów wolnowybiegowy) - za 1szt cena 2017    ,grudzień jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt cena 2017    ,"grudzień masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g cena 2017    ",grudzień margaryna - za 400 g cena 2017    ,grudzień olej rzepakowy produkcji krajowej - za 1l cena 2017    ,grudzień jabłka - za 1kg cena 2017    ,grudzień pomarańcze - za 1kg cena 2017    ,grudzień cytryny - za 1 kg cena 2017    ,grudzień marchew - za 1 kg cena 2017    ,grudzień cebula - za 1 kg cena 2017    ,grudzień ziemniaki - za 1 kg cena 2017    ,grudzień cukier biały kryształ - za 1kg cena 2017    ,grudzień czekolada mleczna - za 100g cena 2017    ,grudzień kawa naturalna mielona - za 250g cena 2017    ,"grudzień herbata czarna, liściasta - za 100g cena 2017    ",grudzień sok jabłkowy - za 1l cena 2017    ,"grudzień piwo jasne pełne, butelkowane - za 0,5l cena 2017    ",grudzień papierosy - za 20szt. cena 2017    ,"grudzień garnitur męski 2-częściowy, z tkaniny z udziałem wełny - za 1 kpl cena 2017    ","grudzień garnitur męski 2-częściowy, z tkaniny z udziałem wełny (2) - za 1 kpl cena 2017    ","grudzień koszula męska z elanobawełny, długi rękaw cena 2017    ","grudzień podkoszulek męski bawełniany, krótki rękaw cena 2017    ","grudzień podkoszulek męski bawełniany, bez rękawa cena 2017    ","grudzień rajstopy damskie gładkie, 15 den cena 2017    ",grudzień spodnie (6-11 lat) z tkaniny typu jeans cena 2017    ,grudzień spodnie (6-11 lat) z tkaniny typu jeans (2) cena 2017    ,grudzień oczyszczenie chemiczne garnituru męskiego 2-częściowego - za 1kpl cena 2017    ,grudzień półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę cena 2017    ,grudzień półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę cena 2017    ,grudzień podzelowanie obuwia męskiego - za 1parę cena 2017    ,grudzień bateria zlewozmywakowa cena 2017    ,grudzień zimna woda z miejskiej sieci wodociągowej - za 1m3 cena 2017    ,grudzień centralne ogrzewanie lokali mieszkalnych - za 1 m2 p u cena 2017    ,grudzień węgiel kamienny - za 1t cena 2017    ,grudzień ciepła woda - za 1m3 cena 2017    ,"grudzień firanka syntetyczna, szer. 300 cm - za 1 m cena 2017    ","grudzień firanka syntetyczna, szer. 140-280 cm - za 1 m cena 2017    ","grudzień ręcznik frotté z tkaniny bawełnianej, wym. 50x100 cm cena 2017    ",grudzień mikser elektryczny cena 2017    ,"grudzień kuchnia mikrofalowa, poj. 16-20 l cena 2017    ","grudzień talerz głęboki porcelanowy o średnicy 22-24 cm, dekorowany cena 2017    ",grudzień talerz głęboki porcelanowy o średnicy 22-26 cm cena 2017    ,grudzień proszek do prania - za 300g cena 2017    ,grudzień wizyta u lekarza specjalisty cena 2017    ,"grudzień benzyna silnikowa bezołowiowa, 95-oktanowa - za 1l cena 2017    ",grudzień olej napędowy - za 1l cena 2017    ,"grudzień bilet normalny na przejazd autobusem miejskim, jednorazowy cena 2017    ","grudzień przejazd taksówką osobową, taryfa dzienna - za 5km cena 2017    ","grudzień przenośny odtwarzacz multimedialny typu MP4, komplet ze słuchawkami cena 2017    ",grudzień bilet do kina cena 2017    ,grudzień gazeta regionalna cena 2017    ,grudzień strzyżenie włosów męskich cena 2017    ,grudzień mydło toaletowe - za 100g cena 2017    ,grudzień mydło toaletowe - za 90 g cena 2017    ,grudzień pasta do zębów - za 100 ml cena 2017    ,grudzień wywóz śmieci segregowanych w budynkach wielorodzinnych - opłata od osoby cena 2017    ,grudzień wywóz śmieci niesegregowanych w budynkach wielorodzinnych -opłata od osoby cena 2017    ,"bardzo dobra,2017,[%]","raczej dobra,2017,[%]","przeciętna,2017,[%]","raczej zła,2017,[%]","zła,2017,[%]","pieczywo i produkty zbożowe,2017,[kg]","pieczywo,2017,[kg]","mięso,2017,[kg]","mięso surowe,2017,[kg]","mięso surowe drobiowe,2017,[kg]","wędliny i inne przetwory mięsne,2017,[kg]","ryby i owoce morza,2017,[kg]","mleko świeże,2017,[l]","jogurty,2017,[kg]","sery i twarogi,2017,[kg]","jaja,2017,[szt.]","oleje i tłuszcze,2017,[kg]","owoce,2017,[kg]","warzywa,2017,[kg]","ziemniaki,2017,[kg]","cukier,2017,[kg]"
DOLNOŚLĄSKIE,1969944.0,959215.0,1010729.0,932603.0,436192.0,496411.0,"4722,44","3,86","0,45","2,65","2,54","2,78","25,81","35,12","17,06",,"6,89","27,83","33,89","18,99","27,87","12,83","2,86","2,61","12,73","22,36","1,92","0,75",,,"6,85","3,87","6,32","3,87","5,89","8,18","1,97","2,10","1,26","2,77","3,89","7,69","4,24","3,62","2,83","14,11","604,44",,"108,29","29,87",,"7,93","67,88",,"37,15","199,89","202,05","50,31","149,35","4,67","4,34","952,74","20,37","33,06",,"23,01","144,17","321,23","12,25",,"5,68","105,88","4,70","4,65","2,60","16,21","184,17","19,69","2,73","18,76","2,21",,"9,38","12,47","18,97","15,4","20,0","52,8","8,5","3,2","5,21","2,87","5,08","2,88","1,58","1,95","0,26","2,86","0,59","0,94","10,75","1,14","3,80","7,95","2,74","0,86"
KUJAWSKO-POMORSKIE,1320688.0,651250.0,669438.0,762256.0,358061.0,404195.0,"4001,06","3,92","0,42","2,07","2,33","2,00","28,95","35,98","17,50",,"7,26","28,04","32,40","18,25","23,77","15,91","2,83","2,46","13,30","22,48","1,86","0,70",,,"7,18","3,64","5,53","3,52","5,73","7,61","2,13","2,20","1,03","2,88","3,66","6,99","4,17","3,65","2,87","14,22","582,74",,"99,84","30,38",,"6,44","83,91",,"36,64","202,30","202,38","39,09","177,11","3,42","2,99","912,54","21,68","32,79",,"23,38","142,15","297,11","14,60",,"5,13","112,31","4,72","4,64","2,61","14,83","193,68","21,61","2,70","17,46","2,23",,"10,09","11,06","23,15","14,0","18,8","56,4","8,1","2,8","5,70","3,49","5,69","3,30","1,68","2,13","0,35","3,23","0,62","0,84","11,45","1,17","3,45","8,69","3,67","0,94"
LUBELSKIE,1601235.0,786141.0,815094.0,525082.0,244312.0,280770.0,"4079,84","4,39","0,43","2,06","2,24","2,37","27,11","30,54","16,59",,"6,87","22,09","28,73","17,06","25,12","12,97","3,07","2,48","13,94","20,81","1,92","0,79",,,"6,51","3,52","6,28","3,34","4,66","7,07","2,05","2,29","1,13","2,69","3,63","7,83","4,70","3,61","2,73","14,18","631,54",,"97,57","28,92",,"7,45","77,87",,"37,08","223,99","196,07","36,33","168,90","3,14","3,11","893,46","23,95","27,83",,"21,20","127,66","336,58","14,03",,"5,78","93,75","4,73","4,61","2,78","14,94","172,58","17,17","2,47","17,92","2,18",,"9,10","10,04","16,68","10,3","25,7","51,3","10,1","2,6","6,56","3,71","5,61","3,23","1,50","2,14","0,29","3,65","0,47","0,86","13,84","1,20","3,49","10,08","3,81","1,26"
LUBUSKIE,752718.0,369501.0,383217.0,264114.0,125429.0,138685.0,"4036,21","3,61","0,48","2,49","2,30","2,36","29,44","34,32","17,78",,"7,26","28,17","28,80","17,32","24,70","13,71","2,65","2,43","13,30","22,53","1,66","0,69",,,"6,48","4,07","6,10","3,86","4,74","7,83","2,03","2,18","1,23","2,79","3,65","6,91","4,35","3,65","2,72","14,03","562,44",,"99,77","29,99",,"7,39","70,97",,"35,50","224,55","204,66","47,11","121,96","4,47","4,49","918,91","21,25","33,89",,"23,31","172,88","297,00","15,34",,"5,51","103,33","4,67","4,58","2,62","18,28","173,11","19,43","2,74","17,56","2,03",,"7,69","10,28","16,91","14,9","24,4","48,5","9,5","2,6","5,19","2,88","5,69","3,17","1,65","2,26","0,27","2,74","0,57","0,90","9,81","1,18","3,79","8,02","2,96","0,81"
ŁÓDZKIE,1663273.0,807287.0,855986.0,813042.0,372582.0,440460.0,"4218,80","3,56","0,36","2,30","2,36","1,90","26,49","32,77","18,44",,"7,08","26,87","31,53","19,51","22,54","14,43","2,68","2,40","12,87","20,06","1,74","0,77",,,"6,74","4,00","5,93","3,27","5,78","7,45","1,77","1,81","0,95","2,44","3,49","7,42","4,22","3,84","2,78","14,19","723,15",,"102,71","27,03",,"6,14","62,89",,"35,64","218,49","194,27","45,86","176,96","3,68","4,23","930,78","20,60","27,02",,"20,60","132,20","316,00","15,71",,"5,24","101,79","4,67","4,57","2,50","15,79","149,94","20,88","2,63","18,14","2,03",,"8,47","8,62","14,29","9,7","17,0","58,8","11,3","3,2","6,06","3,59","5,67","3,16","1,63","2,20","0,32","2,74","0,54","0,88","12,57","1,11","3,79","8,98","3,56","1,16"
MAŁOPOLSKIE,2430341.0,1195886.0,1234455.0,961039.0,450100.0,510939.0,"4454,93","3,77","0,46","2,30","2,37","2,60","27,37","29,46","17,45",,"7,08","26,68","31,41","16,43","23,30","13,79","2,69","2,67","13,41","22,52","1,84","0,76",,,"6,55","4,04","6,24","3,46","5,94","7,19","1,44","1,71","1,02","2,46","3,83","7,51","5,12","3,70","2,62","13,89","673,69",,"105,53","30,78",,"6,93","63,51",,"38,86","221,37","197,91","43,00","153,96","4,24","3,58","922,98","23,90","25,13",,"18,53","137,69","311,52","14,59",,"5,35","94,62","4,69","4,57","2,79","17,42","164,66","18,74","2,84","19,62","2,08",,"8,17","9,05","15,26","14,8","25,3","50,2","7,8","1,9","5,42","3,02","4,77","2,77","1,53","1,78","0,25","2,99","0,44","0,82","10,98","1,00","3,35","7,55","2,97","0,99"
MAZOWIECKIE,3154781.0,1544886.0,1609895.0,2229836.0,1031288.0,1198548.0,"5568,33","3,99","0,39","2,14","2,69","2,56","25,84","32,08","17,18",,"7,42","25,26","32,41","18,37","22,44","13,70","2,81","2,53","14,90","21,03","1,71","0,78",,,"6,69","4,19","6,26","3,65","5,82","7,36","1,83","1,84","1,17","2,45","3,71","7,36","4,31","3,64","2,86","13,92","596,39",,"109,35","30,06",,"7,08","70,55",,"37,62","207,49","194,64","41,30","148,05","3,71","3,48","900,29","22,37","32,71",,"21,64","137,78","308,23","15,89",,"5,32","106,88","4,72","4,60","3,22","16,48","175,07","21,43","2,50","22,00","2,16",,"8,89","8,72","14,33","17,9","20,6","51,2","7,2","3,1","5,55","3,13","5,10","2,84","1,41","2,01","0,28","2,84","0,53","0,85","11,07","0,99","3,87","8,34","3,00","0,87"
OPOLSKIE,861929.0,418535.0,443394.0,128140.0,60425.0,67715.0,"4228,88","3,49","0,48","2,55","2,46","1,87","26,54","34,62","16,41",,"6,77","26,92","30,84","19,90","28,60","12,39","2,76","2,28","13,90","21,15","1,84","0,66",,,"6,66","4,04","6,26","3,80","5,69","8,04","2,08","2,18","1,17","2,64","3,35","6,43","3,60","3,15","2,69","14,20","652,56",,"120,70","25,21",,"7,14","67,26",,"37,50","179,14","175,85","46,29","163,66","3,88","3,54","882,00","23,25","38,45",,"18,78","125,14","332,86","17,93",,"5,74","97,14","4,68","4,59","2,24","16,70","136,33","18,33","2,71","19,29","2,02",,"9,94","11,21","20,00","17,4","26,8","47,4","5,6","2,8","5,84","3,63","5,19","3,01","1,61","1,96","0,28","3,01","0,49","0,82","12,23","1,19","3,72","8,69","3,24","0,93"
PODKARPACKIE,1783681.0,879172.0,904509.0,345457.0,163640.0,181817.0,"3920,08","3,98","0,39","2,12","2,40","2,75","26,52","30,58","17,22",,"7,13","24,06","32,16","16,72","23,41","14,41","2,89","2,72","13,92","20,04","1,85","0,76",,,"6,80","5,00","6,26","3,67","5,04","7,49","1,63","1,77","1,09","2,65","4,18","7,09","5,01","3,95","2,76","14,16","848,25",,"123,42","27,62",,"6,34","79,23",,"32,94","179,24","187,25","44,25","166,74","4,06","3,34","938,75","22,23","27,30",,"20,89","126,66","293,00","13,44",,"5,50","89,58","4,75","4,63","2,36","15,63","201,15","15,17","2,53","15,33","2,18",,"8,14","8,73","13,60","12,7","19,9","55,6","9,3","2,5","6,34","3,67","4,89","2,70","1,50","1,98","0,21","3,58","0,46","0,90","12,18","1,15","3,27","8,57","3,51","1,21"
PODLASKIE,754614.0,374568.0,380046.0,429934.0,202838.0,227096.0,"4101,80","4,43","0,42","2,14","2,21","2,49","26,04","33,88","16,52",,"6,76","23,36","34,68","19,03","24,92","14,11","3,10","2,36","12,58","22,72","1,84","0,78",,,"6,85","4,45","5,93","3,36","4,34","7,34","1,69","1,59","1,06","2,64","3,43","7,23","4,18","3,35","2,82","13,97","634,00",,"95,28","26,28",,"6,30","67,14",,"31,98","194,49","169,79","36,70","146,69","3,28","4,91","808,34","20,11","26,97",,"22,26","125,79","297,10","15,94",,"5,56","85,00","4,69","4,59","2,31","16,52","158,58","20,14","2,30","16,70","2,07",,"8,69","8,67","15,06","12,1","21,1","55,2","7,7","4,0","5,86","3,46","6,88","4,14","1,68","2,48","0,42","3,52","0,54","0,71","12,40","1,08","3,54","9,05","3,91","0,99"
