"Kod";"Nazwa";"pieczywo i produkty zbożowe,2017,[kg]";"pieczywo i produkty zbożowe,2018,[kg]";"pieczywo i produkty zbożowe,2019,[kg]";"pieczywo i produkty zbożowe,2020,[kg]";"pieczywo i produkty zbożowe,2021,[kg]";"pieczywo,2017,[kg]";"pieczywo,2018,[kg]";"pieczywo,2019,[kg]";"pieczywo,2020,[kg]";"pieczywo,2021,[kg]";"mięso,2017,[kg]";"mięso,2018,[kg]";"mięso,2019,[kg]";"mięso,2020,[kg]";"mięso,2021,[kg]";"mięso surowe,2017,[kg]";"mięso surowe,2018,[kg]";"mięso surowe,2019,[kg]";"mięso surowe,2020,[kg]";"mięso surowe,2021,[kg]";"mięso surowe drobiowe,2017,[kg]";"mięso surowe drobiowe,2018,[kg]";"mięso surowe drobiowe,2019,[kg]";"mięso surowe drobiowe,2020,[kg]";"mięso surowe drobiowe,2021,[kg]";"wędliny i inne przetwory mięsne,2017,[kg]";"wędliny i inne przetwory mięsne,2018,[kg]";"wędliny i inne przetwory mięsne,2019,[kg]";"wędliny i inne przetwory mięsne,2020,[kg]";"wędliny i inne przetwory mięsne,2021,[kg]";"ryby i owoce morza,2017,[kg]";"ryby i owoce morza,2018,[kg]";"ryby i owoce morza,2019,[kg]";"ryby i owoce morza,2020,[kg]";"ryby i owoce morza,2021,[kg]";"mleko świeże,2017,[l]";"mleko świeże,2018,[l]";"mleko świeże,2019,[l]";"mleko świeże,2020,[l]";"mleko świeże,2021,[l]";"jogurty,2017,[kg]";"jogurty,2018,[kg]";"jogurty,2019,[kg]";"jogurty,2020,[kg]";"jogurty,2021,[kg]";"sery i twarogi,2017,[kg]";"sery i twarogi,2018,[kg]";"sery i twarogi,2019,[kg]";"sery i twarogi,2020,[kg]";"sery i twarogi,2021,[kg]";"jaja,2017,[szt.]";"jaja,2018,[szt.]";"jaja,2019,[szt.]";"jaja,2020,[szt.]";"jaja,2021,[szt.]";"oleje i tłuszcze,2017,[kg]";"oleje i tłuszcze,2018,[kg]";"oleje i tłuszcze,2019,[kg]";"oleje i tłuszcze,2020,[kg]";"oleje i tłuszcze,2021,[kg]";"owoce,2017,[kg]";"owoce,2018,[kg]";"owoce,2019,[kg]";"owoce,2020,[kg]";"owoce,2021,[kg]";"warzywa,2017,[kg]";"warzywa,2018,[kg]";"warzywa,2019,[kg]";"warzywa,2020,[kg]";"warzywa,2021,[kg]";"ziemniaki,2017,[kg]";"ziemniaki,2018,[kg]";"ziemniaki,2019,[kg]";"ziemniaki,2020,[kg]";"ziemniaki,2021,[kg]";"cukier,2017,[kg]";"cukier,2018,[kg]";"cukier,2019,[kg]";"cukier,2020,[kg]";"cukier,2021,[kg]";
0200000;"DOLNOŚLĄSKIE";5,21;5,01;4,99;4,89;4,78;2,87;2,70;2,58;2,34;2,29;5,08;5,03;4,76;4,80;4,73;2,88;2,90;2,71;2,80;2,72;1,58;1,57;1,50;1,55;1,42;1,95;1,90;1,83;1,80;1,81;0,26;0,25;0,26;0,28;0,29;2,86;2,95;2,80;3,15;2,84;0,59;0,56;0,57;0,58;0,60;0,94;0,95;0,96;1,04;1,07;10,75;10,28;10,69;10,67;11,19;1,14;1,07;1,09;1,10;1,05;3,80;3,85;3,99;4,23;4,36;7,95;7,54;7,39;7,85;7,79;2,74;2,51;2,39;2,42;2,30;0,86;0,78;0,69;0,73;0,61;
0400000;"KUJAWSKO-POMORSKIE";5,70;5,56;5,47;5,20;5,17;3,49;3,26;3,12;2,77;2,68;5,69;5,65;5,52;5,38;5,32;3,30;3,30;3,13;3,03;2,98;1,68;1,71;1,74;1,62;1,54;2,13;2,09;2,12;2,07;2,09;0,35;0,32;0,28;0,27;0,26;3,23;3,05;2,94;2,97;2,98;0,62;0,59;0,65;0,67;0,64;0,84;0,88;0,92;0,95;0,94;11,45;10,44;10,44;9,17;9,61;1,17;1,14;1,06;1,11;1,03;3,45;3,73;3,65;3,41;3,85;8,69;8,12;7,54;7,08;7,37;3,67;3,33;2,89;2,54;2,68;0,94;0,97;0,79;0,82;0,74;
0600000;"LUBELSKIE";6,56;6,29;5,67;5,64;5,49;3,71;3,51;3,12;2,95;2,79;5,61;5,53;5,10;5,06;4,99;3,23;3,27;2,93;2,87;2,85;1,50;1,49;1,40;1,43;1,30;2,14;2,02;1,94;1,97;1,92;0,29;0,26;0,27;0,24;0,24;3,65;3,52;3,28;3,35;3,21;0,47;0,46;0,48;0,50;0,50;0,86;0,84;0,84;0,90;0,89;13,84;14,47;13,07;12,08;11,86;1,20;1,16;1,10;1,12;1,06;3,49;4,05;3,44;3,65;3,67;10,08;9,62;8,75;8,20;7,99;3,81;3,72;3,31;2,94;2,75;1,26;1,37;0,98;1,03;0,90;
0800000;"LUBUSKIE";5,19;4,97;4,87;4,91;5,02;2,88;2,65;2,51;2,38;2,46;5,69;5,52;5,41;5,39;5,35;3,17;3,10;3,06;3,06;3,06;1,65;1,55;1,66;1,59;1,55;2,26;2,18;2,09;2,08;2,06;0,27;0,25;0,26;0,26;0,28;2,74;2,84;3,05;3,20;2,96;0,57;0,54;0,61;0,56;0,67;0,90;0,87;0,93;0,94;0,99;9,81;8,99;9,64;10,49;10,35;1,18;1,14;1,12;1,21;1,14;3,79;3,43;3,86;4,04;4,11;8,02;7,59;7,48;7,63;7,84;2,96;2,78;2,72;2,66;2,54;0,81;0,77;0,74;0,81;0,73;
1000000;"ŁÓDZKIE";6,06;5,65;5,61;5,51;5,33;3,59;3,27;3,16;2,84;2,76;5,67;5,51;5,48;5,55;5,45;3,16;3,06;3,04;3,10;3,04;1,63;1,56;1,60;1,62;1,54;2,20;2,13;2,11;2,14;2,10;0,32;0,30;0,27;0,26;0,27;2,74;2,68;2,54;2,83;2,64;0,54;0,51;0,52;0,55;0,59;0,88;0,86;0,87;0,97;0,99;12,57;11,88;12,11;11,94;11,19;1,11;1,09;1,07;1,09;1,02;3,79;3,84;3,72;3,72;3,91;8,98;8,30;8,21;7,91;7,62;3,56;3,17;3,15;2,94;2,80;1,16;1,16;1,09;1,11;0,94;
1200000;"MAŁOPOLSKIE";5,42;5,26;5,16;5,12;5,06;3,02;2,86;2,72;2,45;2,50;4,77;4,69;4,64;4,77;4,71;2,77;2,70;2,68;2,75;2,74;1,53;1,49;1,52;1,58;1,53;1,78;1,79;1,76;1,81;1,76;0,25;0,24;0,22;0,21;0,22;2,99;2,95;2,90;3,10;2,91;0,44;0,44;0,47;0,53;0,51;0,82;0,84;0,87;0,93;0,93;10,98;10,53;10,94;11,18;11,29;1,00;0,97;0,94;1,00;0,94;3,35;3,42;3,54;3,52;3,48;7,55;7,08;7,00;7,14;6,80;2,97;2,66;2,56;2,53;2,31;0,99;1,02;0,77;0,86;0,74;
1400000;"MAZOWIECKIE";5,55;5,43;5,28;5,22;4,97;3,13;3,05;2,88;2,63;2,50;5,10;4,86;4,73;4,69;4,43;2,84;2,70;2,63;2,62;2,47;1,41;1,34;1,34;1,34;1,25;2,01;1,92;1,88;1,84;1,75;0,28;0,28;0,27;0,30;0,30;2,84;2,80;2,66;2,85;2,68;0,53;0,54;0,57;0,57;0,59;0,85;0,85;0,88;0,94;0,96;11,07;10,98;10,71;10,83;10,43;0,99;0,93;0,91;0,94;0,89;3,87;4,00;4,05;4,06;4,21;8,34;7,86;7,68;7,64;7,18;3,00;2,71;2,55;2,38;2,08;0,87;0,84;0,74;0,74;0,68;
1600000;"OPOLSKIE";5,84;5,68;5,73;5,45;5,29;3,63;3,55;3,35;3,03;2,77;5,19;5,06;5,11;5,10;4,96;3,01;2,91;2,90;2,90;2,85;1,61;1,50;1,58;1,56;1,40;1,96;1,93;1,97;1,98;1,91;0,28;0,26;0,24;0,24;0,23;3,01;2,90;2,95;3,15;2,72;0,49;0,45;0,47;0,57;0,55;0,82;0,81;0,88;0,95;1,00;12,23;12,12;12,90;12,39;11,49;1,19;1,14;1,13;1,15;1,09;3,72;3,90;3,91;3,85;3,89;8,69;8,64;8,85;8,33;7,80;3,24;3,37;3,45;2,92;2,66;0,93;0,86;0,80;0,70;0,69;
1800000;"PODKARPACKIE";6,34;6,18;5,94;5,90;5,71;3,67;3,51;3,20;3,01;2,90;4,89;4,94;4,81;4,73;4,71;2,70;2,76;2,69;2,70;2,63;1,50;1,54;1,53;1,52;1,41;1,98;1,97;1,91;1,84;1,88;0,21;0,20;0,22;0,21;0,21;3,58;3,50;3,50;3,41;3,20;0,46;0,44;0,47;0,52;0,52;0,90;0,93;0,98;0,98;1,01;12,18;11,03;11,34;10,71;10,56;1,15;1,15;1,10;1,14;1,09;3,27;3,58;3,69;3,50;3,31;8,57;8,65;8,09;7,87;7,38;3,51;3,57;3,21;3,06;2,72;1,21;1,24;1,02;1,11;1,06;
2000000;"PODLASKIE";5,86;5,55;5,44;5,37;5,27;3,46;3,15;2,94;2,77;2,73;6,88;6,45;6,49;6,41;6,27;4,14;3,80;3,77;3,76;3,87;1,68;1,62;1,68;1,62;1,55;2,48;2,43;2,48;2,42;2,17;0,42;0,37;0,37;0,35;0,38;3,52;3,47;3,26;3,48;3,16;0,54;0,59;0,56;0,60;0,59;0,71;0,74;0,79;0,85;0,86;12,40;12,62;11,82;11,63;10,93;1,08;1,06;1,02;1,12;1,03;3,54;3,91;3,69;3,75;3,76;9,05;8,85;7,79;8,44;7,92;3,91;3,59;2,92;3,57;3,09;0,99;1,01;0,84;1,04;0,77;
