Kod;Nazwa;2017;2018;2019;2020;2021;
0201000;"Powiat bolesławiecki";3901,94;4214,66;4545,34;4887,95;5461,94;
0202000;"Powiat dzierżoniowski";3825,15;4024,94;4484,28;4690,20;5127,97;
0203000;"Powiat głogowski";3918,42;4077,69;4427,98;4763,21;5171,28;
0204000;"Powiat górowski";3484,31;3815,89;3978,78;4432,40;4862,88;
0205000;"Powiat jaworski";3756,46;4029,64;4408,00;4932,98;5554,54;
0206000;"Powiat karkonoski";3760,49;4035,56;4353,43;4526,41;5050,91;
0207000;"Powiat kamiennogórski";3661,88;4013,33;4319,48;4532,19;4885,26;
0208000;"Powiat kłodzki";3741,83;4054,23;4386,83;4747,93;5141,98;
0209000;"Powiat legnicki";3774,63;4185,47;4652,61;4877,07;5452,05;
0210000;"Powiat lubański";3622,21;3939,03;4173,43;4508,29;4980,17;
0211000;"Powiat lubiński";7515,99;7915,01;8274,57;8920,41;10076,64;
0212000;"Powiat lwówecki";3570,16;3950,65;4284,69;4622,42;5049,64;
0213000;"Powiat milicki";3617,72;3734,38;3996,41;4338,67;4848,85;
0214000;"Powiat oleśnicki";3857,75;4128,29;4457,79;4773,90;5113,77;
0215000;"Powiat oławski";4150,54;4415,62;4804,75;4987,74;5467,98;
0216000;"Powiat polkowicki";4794,62;4941,87;5338,08;5606,23;6120,80;
0217000;"Powiat strzeliński";4082,13;4398,08;4774,00;5161,72;5671,21;
0218000;"Powiat średzki";4389,17;4805,68;5069,72;5260,90;5761,88;
0219000;"Powiat świdnicki";4141,32;4427,25;4741,36;5053,92;5469,98;
0220000;"Powiat trzebnicki";3664,48;3955,41;4237,62;4611,02;5235,04;
0221000;"Powiat wałbrzyski";3638,59;3825,44;4065,01;4385,23;4759,75;
0222000;"Powiat wołowski";4651,04;5086,07;5473,27;5907,36;6793,03;
0223000;"Powiat wrocławski";4324,13;4880,00;5324,29;5868,29;6489,25;
0224000;"Powiat ząbkowicki";3583,79;3856,48;4178,50;4556,76;4975,61;
