Kod;Nazwa;2017;2018;2019;2020;2021;
0000000;"POLSKA";0,00;0,00;0,00;0,00;0,00;
0200000;"DOLNOŚLĄSKIE";4722,44;4993,63;5388,46;5712,08;6271,47;
0400000;"KUJAWSKO-POMORSKIE";4001,06;4263,53;4621,05;4933,89;5424,38;
0600000;"LUBELSKIE";4079,84;4327,42;4627,78;4948,09;5403,55;
0800000;"LUBUSKIE";4036,21;4348,69;4632,37;4876,10;5373,26;
1000000;"ŁÓDZKIE";4218,80;4538,01;4883,33;5209,46;5738,76;
1200000;"MAŁOPOLSKIE";4454,93;4761,08;5207,93;5577,41;6107,85;
1400000;"MAZOWIECKIE";5568,33;5938,41;6270,31;6562,23;7088,99;
1600000;"OPOLSKIE";4228,88;4477,43;4799,97;5130,23;5601,71;
1800000;"PODKARPACKIE";3920,08;4190,18;4487,03;4769,69;5241,23;
2000000;"PODLASKIE";4101,80;4354,63;4665,49;5004,18;5485,72;
2200000;"POMORSKIE";4630,76;4919,94;5291,60;5585,24;6105,36;
2400000;"ŚLĄSKIE";4556,51;4907,27;5262,42;5509,09;5967,00;
2600000;"ŚWIĘTOKRZYSKIE";4006,63;4280,87;4583,57;4861,76;5318,88;
2800000;"WARMIŃSKO-MAZURSKIE";3895,63;4128,68;4410,91;4763,06;5230,66;
3000000;"WIELKOPOLSKIE";4230,99;4506,73;4819,12;5055,92;5479,49;
3200000;"ZACHODNIOPOMORSKIE";4273,99;4538,73;4882,00;5200,50;5670,88;
